N = 64, model_type = GRU
Step = 1095, Energy = -50.382738+0.116048j, Var = 44.643224, Loss = -14.087091
Step = 1100, Energy = -51.644057+0.652581j, Var = 60.426878, Loss = 12.419033
Step = 1105, Energy = -51.099911+0.216780j, Var = 48.809635, Loss = -7.306878
Step = 1110, Energy = -49.580619+0.525319j, Var = 65.269537, Loss = -0.097231
Step = 1115, Energy = -47.660237+1.015209j, Var = 76.352674, Loss = -5.301731
Step = 1120, Energy = -45.147073-0.495662j, Var = 76.367914, Loss = 6.600094
Step = 1125, Energy = -45.881664+0.593650j, Var = 85.196639, Loss = 14.563369
Step = 1130, Energy = -46.888879+0.934831j, Var = 67.864147, Loss = -10.070655
Step = 1135, Energy = -46.340398+0.027798j, Var = 61.611343, Loss = 2.500038
Step = 1140, Energy = -47.977475-0.071033j, Var = 54.911331, Loss = 27.717742
Step = 1145, Energy = -46.254049-0.390682j, Var = 74.967916, Loss = -33.449264
Step = 1150, Energy = -46.257161-1.343781j, Var = 74.109202, Loss = 44.117679
Step = 1155, Energy = -46.709483-0.077696j, Var = 67.085323, Loss = -35.402799
Step = 1160, Energy = -47.791883-0.458982j, Var = 75.654069, Loss = 11.275809
Step = 1165, Energy = -47.698746+0.512253j, Var = 81.102415, Loss = -3.959011
Step = 1170, Energy = -49.925272-0.280716j, Var = 37.872271, Loss = 6.213970
Step = 1175, Energy = -48.958396-0.227263j, Var = 42.084025, Loss = -0.388663
Step = 1180, Energy = -49.186093-0.151812j, Var = 88.027472, Loss = -15.493361
Step = 1185, Energy = -49.101247-0.522346j, Var = 72.862030, Loss = 21.036979
Step = 1190, Energy = -48.992103-0.144650j, Var = 86.545765, Loss = 15.055054
Step = 1195, Energy = -49.951515+0.685868j, Var = 49.661338, Loss = 10.355490
Step = 1200, Energy = -51.400188-0.789846j, Var = 76.673574, Loss = -3.698423
Step = 1205, Energy = -50.815264+0.397111j, Var = 24.701117, Loss = 25.659983
Step = 1210, Energy = -51.777749-0.171206j, Var = 41.466045, Loss = -28.440563
Step = 1215, Energy = -52.584047-0.030539j, Var = 22.746859, Loss = 28.402965
Step = 1220, Energy = -51.659580+0.083304j, Var = 77.582776, Loss = -16.680901
Step = 1225, Energy = -52.199217+0.085077j, Var = 48.813195, Loss = 19.675830
Step = 1230, Energy = -52.263488+0.741030j, Var = 51.204531, Loss = -10.019935
Step = 1235, Energy = -52.245371+0.314133j, Var = 39.783126, Loss = 2.280894
Step = 1240, Energy = -51.891789-0.445049j, Var = 35.449741, Loss = -4.520247
Step = 1245, Energy = -52.350683+0.216332j, Var = 56.002413, Loss = -0.690637
Step = 1250, Energy = -51.820869+0.462936j, Var = 38.697227, Loss = -5.885912
Step = 1255, Energy = -51.465367-0.080804j, Var = 79.266722, Loss = 14.012204
Step = 1260, Energy = -48.993909+0.540228j, Var = 128.516897, Loss = -28.273092
Step = 1265, Energy = -51.075983-0.207452j, Var = 86.382384, Loss = 7.262744
Step = 1270, Energy = -51.628408+0.050483j, Var = 51.497704, Loss = -1.589325
Step = 1275, Energy = -51.211493+0.104105j, Var = 61.261065, Loss = 15.409798
Step = 1280, Energy = -51.744314-0.049058j, Var = 39.994388, Loss = -3.468691
Step = 1285, Energy = -52.602028+0.326610j, Var = 33.937623, Loss = -3.438779
Step = 1290, Energy = -52.592806-0.105327j, Var = 39.285975, Loss = 19.765739
Step = 1295, Energy = -52.014641+0.139651j, Var = 32.579148, Loss = -7.965136
Step = 1300, Energy = -52.359246-0.056409j, Var = 39.766984, Loss = 25.696448
Step = 1305, Energy = -51.993227+0.196843j, Var = 68.249587, Loss = -14.429361
Step = 1310, Energy = -49.995211-0.445142j, Var = 77.094138, Loss = -5.121933
Step = 1315, Energy = -43.974394-0.254595j, Var = 177.117437, Loss = -20.868615
Step = 1320, Energy = -41.231725-0.996799j, Var = 120.876083, Loss = -1.051838
Step = 1325, Energy = -49.590429-0.114525j, Var = 40.714090, Loss = 9.479017
Step = 1330, Energy = -49.771609-0.781842j, Var = 65.537713, Loss = -13.956891
Step = 1335, Energy = -50.285017-0.414776j, Var = 44.041278, Loss = -13.795303
Step = 1340, Energy = -50.860183-0.731951j, Var = 49.812507, Loss = -9.483847
Step = 1345, Energy = -51.984434-0.340225j, Var = 38.028826, Loss = 15.346545
Step = 1350, Energy = -52.295870+0.840493j, Var = 24.245150, Loss = -5.610898
